Name,Channel,Code,Market
CBS-KIRO,CBS,KIRO,Seattle 
ABC-KOMO,ABC,KOMO,Seattle 
NBC-WGBA,NBC,WGBA,Green Bay 
FOX-WLUK,FOX,WLUK,Green Bay 
CBS-WFRV,CBS,WFRV,Green Bay 
ABC-WBAY,ABC,WBAY,Green Bay 
CBS-WKBT,CBS,WKBT,La Crosse 
NBC-WEAU,NBC,WEAU,La Crosse 
ABC-WKOW,ABC,WKOW,Madison
CBS-WISC,CBS,WISC,Madison
FOX-WMSN,FOX,WMSN,Madison
ABC-WMTV,ABC,WMTV,Madison
ABC-WTMJ,ABC,WTMJ,Milwaukee 
ABC-WISN,ABC,WISN,Milwaukee 
CBS-WDJT,CBS,WDJT,Milwaukee 
FOX-WITI,FOX,WITI,Milwaukee 
ABC-WAOW,ABC,WAOW,Wausau 
NBC-WJFW,NBC,WJFW,Wausau 
CBS-WSAW,CBS,WSAW,Wausau 
Fox-WFXS,Fox,WFXS,Wausau 
